Timestamp,What is your classification?,What STEM specialization(s) best describes your work experience/education (choose 1 or more)?,Which ocean and atmospheric sciences-related engagement opportunities did you participate in at the SACNAS conference (choose 1 or more)?,"Indicate your level of agreement with the following statement: ""Participation in the SACNAS conference increased my awareness of  the interdisciplinary nature of ocean and atmospheric STEM fields/careers"".",What type of professional or educational opportunities are you currently pursuing (choose 1 or more),"Indicate your level of agreement with the following statement: ""Participation in the SACNAS conference increased my awareness of NOAA student and career opportunities"". ","If applicable, based on what you have learned at the SACNAS conference, how likely are you to apply for NOAA student and career opportunities?","Based on what you have learned at the SACNAS Conference, how likely are you to encourage others to apply to NOAA student and career opportunities?",Do you have any additional comments regarding the sessions or overall engagement with NOAA or other ocean/atmospheric science professionals at the conference?
2018/10/22 12:05:36 PM EST,Upperclassman Undergraduate Student (Junior or Senior),Environmental/Earth/Marine Science,"NOAA Exhibition Booth;Conversations with Scientists; Env. Sci./Studies, Marine Sci., Oceanography...   Thurs 5:45 pm;Exploring Careers in Oceanic and Atmospheric Sciences with NOAA...     Fri 10:30 am",Strongly Agree,Job - recent graduate or young professional (less than 5 years post graduation),Strongly Agree,5,5,
2018/10/22 12:06:02 PM EST,Upperclassman Undergraduate Student (Junior or Senior),Environmental/Earth/Marine Science,"NOAA Exhibition Booth;Conversations with Scientists; Env. Sci./Studies, Marine Sci., Oceanography...   Thurs 5:45 pm;Exploring Careers in Oceanic and Atmospheric Sciences with NOAA...     Fri 10:30 am;Navigating the Channels between Ocean Science and Societal Needs...   Sat 9:45 am",Strongly Agree,"Student Opportunity (e.g. internship, scholarship, graduate school)",Strongly Agree,4,4,
2018/10/22 12:08:35 PM EST,Upperclassman Undergraduate Student (Junior or Senior),Environmental/Earth/Marine Science;Botany,NOAA Exhibition Booth;Ocean Science in Service of Societal Needs     Thur 10:30 am,Strongly Agree,"Student opportunity, graduate school, job recent graduate",Strongly Agree,5,5,I wouldn't have had the experience I had if the NOAA workers had not stopped by my presentation. It was a really good way to catch my attention.
2018/10/22 12:08:48 PM EST,Doctoral Degree Student,Chemistry,Belonging: A Documentary Short and Facilitated Conversation...   Fri 8:45 am,Strongly Disagree,"Student Opportunity (e.g. internship, scholarship, graduate school)",Slightly Agree,3,4,I loved the documentary. It was really informative and helped me gain new perspectives about race in higher education. It inspired me to want to encourage and mentor others.
2018/10/22 12:09:16 PM EST,Upperclassman Undergraduate Student (Junior or Senior),Biomedical/molecular biology/biotechnology,Belonging: A Documentary Short and Facilitated Conversation...   Fri 8:45 am,Strongly Disagree,"Student Opportunity (e.g. internship, scholarship, graduate school)",Neither Agree or Disagree,1,2,
2018/10/22 12:15:41 PM EST,Professional (6 or more years post-graduation),Environmental/Earth/Marine Science;Education,"NOAA Exhibition Booth;Conversations with Scientists; Env. Sci./Studies, Marine Sci., Oceanography...   Thurs 5:45 pm",Slightly Agree,"Job - Mid career, science program management, or senior leadership",Strongly Agree,,5,"  I'm on the faculty of the Univ Hawaii School of Ocean and Earth Science and Technology.  This is my 3rd SACNAS conference and the first time there was a real ocean/earth science presence.   I brought 4 students and 1 post-doc to the conference, and we were all thrilled to see an ocean/earth science presence.  Two students commented that they found the career session highly useful. My favorite session of the whole conference was “ Belonging: A Documentary Short and Facilitated Conversation” The film was excellent, and the panel discussion eye-opening.  Last week, I met with a student who described the conference as life-changing.  A double-major in Marine Science and Hawaiian studies, he said that as a Native Hawaiian, he is now inspired to pursue a Ph.D..  Prior to the conference, he said he knew graduate school was an option, but he hadn’t felt the passion to pursue a Masters, let alone PhD, until now.  Mahalo for inspring my students.  If you’d like to have further conversations, please feel free to contact me (Barb Bruno, barb@hawaii.edu)"
2018/10/22 12:16:38 PM EST,Upperclassman Undergraduate Student (Junior or Senior),Environmental/Earth/Marine Science,Navigating the Channels between Ocean Science and Societal Needs...   Sat 9:45 am,Slightly Agree,"Student Opportunity (e.g. internship, scholarship, graduate school)",Slightly Agree,4,4,
2018/10/22 12:23:19 PM EST,Upperclassman Undergraduate Student (Junior or Senior),Environmental/Earth/Marine Science,"NOAA Exhibition Booth;Student and Early Career Opportunities at NOAA       Thurs 8:45 am;Interdisciplinary Climate and Weather Science and Services....     Thurs 10:30 am;Conversations with Scientists; Env. Sci./Studies, Marine Sci., Oceanography...   Thurs 5:45 pm",Slightly Agree,Job - recent graduate or young professional (less than 5 years post graduation),Slightly Agree,3,3,
2018/10/22 12:24:34 PM EST,Professional (6 or more years post-graduation),Biomedical/molecular biology/biotechnology,Belonging: A Documentary Short and Facilitated Conversation...   Fri 8:45 am,Slightly Agree,"Job - Mid career, science program management, or senior leadership",Slightly Agree,1,4,
2018/10/22 12:27:32 PM EST,Upperclassman Undergraduate Student (Junior or Senior),Computer Science,NOAA Exhibition Booth;Interdisciplinary Climate and Weather Science and Services....     Thurs 10:30 am,Slightly Agree,Job - recent graduate or young professional (less than 5 years post graduation),Slightly Agree,4,4,
